iter	Passed	Remaining
0	36	36407
1	64	32188
2	80	26645
3	100	25142
4	118	23647
5	139	23138
6	162	23055
7	185	22975
8	206	22692
9	229	22730
10	257	23152
11	296	24451
12	337	25595
13	355	25045
14	371	24415
15	395	24294
16	417	24130
17	439	23975
18	454	23441
19	487	23875
20	527	24593
21	554	24668
22	574	24385
23	582	23679
24	594	23197
25	616	23077
26	640	23065
27	664	23051
28	701	23502
29	741	23967
30	767	23992
31	789	23877
32	797	23383
33	806	22902
34	827	22812
35	849	22760
36	876	22821
37	919	23270
38	959	23646
39	985	23647
40	991	23191
41	1015	23151
42	1038	23114
43	1062	23091
44	1091	23158
45	1135	23551
46	1167	23679
47	1173	23281
48	1195	23208
49	1224	23266
50	1248	23227
51	1271	23176
52	1281	22889
53	1309	22940
54	1347	23148
55	1382	23303
56	1408	23303
57	1429	23221
58	1452	23172
59	1473	23092
60	1494	23011
61	1523	23050
62	1561	23231
63	1597	23356
64	1621	23328
65	1643	23259
66	1666	23208
67	1681	23040
68	1689	22801
69	1712	22751
70	1739	22761
71	1778	22918
72	1818	23093
73	1845	23090
74	1869	23058
75	1895	23047
76	1908	22872
77	1928	22792
78	1959	22839
79	2003	23037
80	2034	23080
81	2057	23036
82	2079	22976
83	2093	22832
84	2114	22761
85	2133	22672
86	2155	22623
87	2187	22674
88	2196	22480
89	2237	22620
90	2264	22622
91	2277	22475
92	2300	22440
93	2309	22262
94	2328	22186
95	2353	22159
96	2364	22014
97	2387	21973
98	2412	21951
99	2451	22059
100	2501	22265
101	2524	22227
102	2547	22184
103	2570	22145
104	2595	22122
105	2633	22209
106	2665	22248
107	2688	22205
108	2710	22157
109	2726	22056
110	2748	22011
111	2756	21858
112	2777	21804
113	2801	21775
114	2839	21855
115	2879	21945
116	2905	21929
117	2929	21896
118	2955	21881
119	2980	21854
120	2997	21776
121	3032	21820
122	3083	21984
123	3109	21966
124	3132	21925
125	3154	21879
126	3175	21828
127	3197	21780
128	3221	21748
129	3250	21750
130	3291	21834
131	3320	21833
132	3334	21737
133	3342	21604
134	3365	21563
135	3377	21456
136	3399	21411
137	3409	21298
138	3432	21263
139	3456	21231
140	3493	21282
141	3534	21358
142	3563	21354
143	3586	21316
144	3594	21196
145	3616	21156
146	3643	21144
147	3668	21119
148	3707	21175
149	3742	21205
150	3767	21181
151	3788	21134
152	3811	21098
153	3831	21049
154	3853	21009
155	3876	20971
156	3919	21043
157	3961	21109
158	3989	21103
159	3999	20995
160	4019	20944
161	4028	20839
162	4051	20803
163	4072	20761
164	4104	20769
165	4144	20823
166	4174	20823
167	4198	20790
168	4221	20757
169	4244	20724
170	4266	20682
171	4288	20643
172	4304	20574
