iter	Passed	Remaining
0	34	34832
1	50	25092
2	72	24178
3	85	21295
4	100	19977
5	115	19094
6	133	18941
7	152	18898
8	172	18989
9	191	18938
10	217	19523
11	238	19658
12	278	21145
13	320	22580
14	348	22881
15	355	21879
16	365	21144
17	384	20972
18	397	20513
19	415	20372
20	434	20246
21	462	20579
22	498	21187
23	534	21745
24	555	21676
25	566	21211
26	577	20827
27	595	20685
28	615	20603
29	622	20136
30	641	20043
31	659	19957
32	680	19953
33	717	20374
34	750	20679
35	777	20831
36	797	20744
37	815	20654
38	835	20586
39	848	20355
40	862	20181
41	881	20103
42	914	20347
43	950	20649
44	979	20792
45	987	20483
46	1006	20411
47	1024	20327
48	1043	20253
49	1061	20171
50	1071	19940
51	1093	19940
52	1150	20555
53	1181	20704
54	1209	20776
55	1227	20688
56	1244	20595
57	1263	20517
58	1289	20559
59	1320	20693
60	1347	20737
61	1366	20680
62	1386	20623
63	1405	20550
64	1423	20471
65	1442	20412
66	1461	20347
67	1480	20291
68	1507	20339
69	1546	20544
70	1590	20808
71	1611	20772
72	1630	20705
73	1649	20645
74	1657	20440
75	1676	20386
76	1696	20341
77	1727	20420
78	1779	20745
79	1807	20788
80	1828	20741
81	1837	20575
82	1856	20506
83	1874	20437
84	1891	20364
85	1910	20300
86	1928	20242
87	1962	20342
88	2000	20478
89	2027	20499
90	2047	20457
91	2066	20400
92	2086	20347
93	2104	20282
94	2122	20224
95	2149	20241
96	2191	20401
97	2228	20510
98	2251	20494
99	2270	20436
100	2289	20376
101	2307	20315
102	2317	20179
103	2334	20114
104	2354	20071
105	2377	20052
106	2413	20139
107	2444	20188
108	2465	20150
109	2485	20110
110	2504	20059
111	2517	19959
112	2530	19859
113	2548	19808
114	2562	19720
115	2585	19706
116	2613	19726
117	2651	19815
118	2672	19783
119	2691	19740
120	2710	19693
121	2729	19646
122	2748	19597
123	2767	19553
124	2801	19611
125	2841	19707
126	2853	19617
127	2875	19587
128	2895	19551
129	2903	19428
130	2921	19378
131	2939	19328
132	2958	19284
133	2983	19283
134	3022	19364
135	3046	19351
136	3073	19362
137	3082	19254
138	3101	19209
139	3121	19172
140	3136	19110
141	3160	19096
142	3182	19075
143	3218	19131
144	3251	19170
145	3285	19219
146	3307	19190
147	3327	19156
148	3344	19099
149	3351	18991
150	3369	18947
151	3388	18903
152	3407	18864
153	3429	18842
154	3462	18877
155	3502	18947
156	3526	18936
157	3547	18903
158	3566	18862
159	3584	18820
160	3602	18775
161	3615	18703
162	3639	18688
163	3652	18616
164	3686	18655
165	3722	18701
166	3742	18668
167	3762	18633
168	3781	18594
169	3800	18556
170	3817	18508
171	3835	18465
172	3864	18473
173	3904	18536
174	3918	18474
175	3931	18406
176	3954	18388
177	3974	18353
178	3994	18321
179	4013	18283
180	4031	18243
181	4050	18203
182	4072	18179
183	4109	18225
184	4153	18296
185	4180	18295
186	4203	18274
187	4223	18241
188	4243	18207
189	4260	18163
190	4282	18139
191	4317	18168
192	4350	18190
193	4367	18147
194	4380	18084
195	4398	18044
196	4413	17990
197	4431	17949
198	4450	17912
199	4467	17871
200	4489	17845
201	4514	17835
202	4529	17781
203	4566	17819
204	4590	17802
205	4611	17773
206	4630	17738
207	4650	17708
208	4670	17675
209	4688	17639
210	4721	17654
211	4754	17671
212	4776	17648
213	4800	17632
214	4819	17597
215	4838	17561
216	4845	17485
217	4863	17444
218	4881	17408
219	4899	17371
220	4918	17336
221	4950	17349
222	4989	17384
223	5024	17406
224	5044	17376
225	5064	17344
226	5083	17310
227	5091	17238
228	5108	17199
229	5131	17178
230	5141	17114
231	5173	17127
232	5205	17136
233	5230	17122
234	5252	17099
235	5270	17061
236	5288	17027
237	5308	16996
238	5324	16952
239	5342	16917
240	5362	16888
241	5383	16862
242	5420	16887
243	5434	16838
244	5471	16861
245	5492	16836
246	5512	16806
247	5531	16773
248	5551	16742
249	5569	16709
250	5591	16685
251	5630	16712
252	5668	16735
253	5691	16715
254	5711	16686
255	5734	16664
256	5745	16609
257	5763	16574
258	5781	16541
259	5805	16524
260	5838	16530
261	5873	16545
262	5896	16523
263	5914	16488
264	5933	16458
265	5949	16416
266	5967	16383
267	5986	16351
268	6004	16317
269	6032	16310
270	6069	16328
271	6145	16449
272	6167	16423
273	6185	16389
274	6208	16368
275	6227	16334
276	6254	16326
277	6289	16335
278	6313	16315
279	6332	16284
280	6351	16252
281	6371	16221
282	6389	16189
283	6405	16149
284	6425	16119
285	6444	16088
286	6466	16065
287	6497	16062
288	6537	16083
289	6566	16077
290	6586	16047
291	6605	16017
292	6624	15985
293	6648	15965
294	6669	15937
295	6707	15951
296	6737	15947
297	6762	15929
298	6782	15902
299	6801	15870
300	6820	15838
301	6841	15812
302	6860	15780
303	6883	15759
304	6926	15783
305	6959	15785
306	6980	15756
307	6999	15727
308	7018	15695
