iter	Passed	Remaining
0	23	23759
1	39	19713
2	61	20359
3	75	18748
4	96	19137
5	121	20100
6	142	20229
7	181	22555
8	208	22950
9	217	21534
10	242	21761
11	266	21909
12	280	21275
13	303	21340
14	326	21458
15	360	22163
16	412	23876
17	437	23855
18	461	23833
19	485	23786
20	507	23680
21	530	23595
22	560	23823
23	605	24623
24	631	24631
25	643	24088
26	657	23680
27	677	23532
28	686	22997
29	708	22910
30	724	22654
31	778	23547
32	833	24436
33	866	24613
34	896	24711
35	924	24763
36	952	24788
37	976	24724
38	996	24562
39	1035	24841
40	1059	24790
41	1086	24776
42	1109	24687
43	1133	24632
44	1155	24513
45	1177	24415
46	1203	24412
47	1246	24714
48	1278	24821
49	1303	24763
50	1326	24691
51	1348	24584
52	1370	24492
53	1394	24426
54	1426	24518
55	1467	24730
56	1501	24838
57	1526	24786
58	1553	24778
59	1575	24689
60	1595	24560
61	1616	24456
62	1643	24444
63	1679	24559
64	1713	24651
65	1737	24587
66	1760	24522
67	1772	24288
68	1782	24047
69	1804	23972
70	1825	23883
71	1848	23829
72	1889	23998
73	1931	24169
74	1956	24133
75	1979	24067
76	2004	24033
77	2029	23991
78	2045	23851
79	2079	23909
80	2122	24080
81	2143	23993
82	2173	24008
83	2196	23953
84	2221	23911
85	2244	23852
86	2267	23798
87	2292	23756
88	2332	23870
89	2373	23995
90	2397	23945
91	2420	23891
92	2444	23844
93	2454	23658
94	2477	23598
95	2502	23562
96	2551	23749
97	2588	23825
98	2613	23784
99	2636	23731
100	2661	23693
101	2686	23650
102	2715	23649
103	2772	23886
104	2804	23908
105	2822	23802
106	2843	23731
107	2865	23670
108	2889	23617
109	2910	23544
110	2941	23559
111	2981	23639
112	3012	23645
113	3036	23602
114	3060	23554
115	3082	23493
116	3106	23443
117	3127	23373
118	3148	23313
119	3189	23391
120	3226	23437
121	3249	23386
122	3269	23313
123	3291	23250
124	3314	23199
125	3337	23150
126	3364	23130
127	3423	23321
128	3453	23318
129	3478	23280
130	3501	23228
131	3528	23199
132	3550	23145
133	3563	23032
134	3595	23040
135	3636	23104
136	3666	23096
137	3689	23048
138	3712	22997
139	3735	22943
140	3755	22882
141	3780	22841
142	3802	22788
143	3828	22756
144	3882	22893
145	3909	22867
146	3934	22828
147	3956	22774
148	3977	22718
149	3996	22649
150	4043	22737
151	4078	22754
152	4108	22745
153	4133	22709
154	4158	22669
155	4183	22633
156	4207	22593
157	4231	22548
158	4257	22517
159	4297	22563
160	4335	22591
161	4352	22513
162	4376	22472
163	4402	22439
164	4422	22378
165	4445	22332
166	4469	22294
167	4515	22360
168	4537	22310
169	4552	22228
170	4576	22189
171	4600	22148
172	4624	22106
173	4648	22065
174	4673	22033
175	4713	22068
176	4756	22117
177	4779	22070
178	4800	22017
179	4822	21969
180	4844	21919
181	4865	21870
182	4898	21867
183	4932	21876
184	4964	21870
185	4979	21791
186	5004	21758
187	5026	21710
188	5034	21603
189	5057	21560
190	5078	21511
191	5102	21473
192	5140	21496
193	5182	21533
194	5197	21457
195	5220	21415
196	5244	21375
197	5268	21339
198	5291	21299
199	5318	21275
200	5362	21315
201	5398	21326
202	5423	21291
203	5448	21259
204	5471	21219
205	5496	21185
206	5523	21159
207	5568	21202
208	5607	21222
209	5632	21189
210	5656	21151
211	5679	21108
212	5701	21065
213	5724	21023
214	5761	21037
215	5809	21087
216	5835	21057
217	5862	21031
218	5888	20998
219	5911	20959
220	5936	20926
221	5980	20960
222	6009	20940
223	6032	20899
224	6057	20865
225	6082	20832
226	6092	20746
