iter	Passed	Remaining
0	13	13003
1	26	13206
2	39	12982
3	66	16576
4	106	21263
5	122	20226
6	150	21373
7	174	21603
8	196	21598
9	216	21393
10	242	21762
11	266	21901
12	290	22066
13	315	22205
14	356	23431
15	391	24073
16	416	24066
17	438	23906
18	461	23809
19	475	23282
20	483	22535
21	505	22471
22	531	22581
23	559	22769
24	603	23518
25	626	23478
26	652	23513
27	676	23492
28	703	23550
29	727	23531
30	760	23784
31	805	24351
32	833	24431
33	857	24359
34	879	24242
35	899	24092
36	920	23959
37	941	23843
38	952	23466
39	979	23515
40	1002	23442
41	1052	24009
42	1081	24073
43	1103	23977
44	1124	23868
45	1137	23599
46	1159	23510
47	1181	23426
48	1215	23593
49	1256	23872
50	1287	23966
51	1314	23961
52	1338	23909
53	1362	23875
54	1383	23777
55	1409	23752
56	1441	23841
57	1481	24062
58	1513	24140
59	1532	24002
60	1557	23967
61	1580	23904
62	1600	23797
63	1619	23680
64	1641	23611
65	1679	23771
66	1732	24130
67	1762	24154
68	1794	24207
69	1823	24229
70	1838	24057
71	1874	24160
72	1923	24424
73	1946	24353
74	1970	24303
75	1995	24262
76	2018	24198
77	2045	24177
78	2071	24149
79	2112	24288
80	2142	24313
81	2169	24284
82	2195	24250
83	2218	24191
84	2241	24126
85	2252	23940
86	2275	23877
87	2310	23949
88	2347	24025
89	2372	23991
90	2395	23929
91	2418	23869
92	2441	23813
93	2465	23760
94	2499	23814
95	2542	23940
96	2571	23937
97	2596	23897
98	2621	23859
99	2646	23818
100	2668	23749
101	2690	23689
102	2718	23672
103	2763	23809
104	2803	23893
105	2825	23830
106	2851	23798
107	2874	23740
108	2896	23677
109	2904	23502
110	2926	23435
111	2939	23302
112	2980	23397
113	3011	23407
114	3041	23402
115	3063	23346
116	3085	23283
117	3105	23212
118	3127	23153
119	3175	23283
120	3210	23321
121	3231	23258
122	3257	23229
123	3281	23181
124	3303	23123
125	3325	23066
126	3362	23115
127	3401	23173
128	3425	23126
129	3447	23074
130	3472	23033
131	3496	22993
132	3520	22946
133	3540	22881
134	3582	22954
135	3617	22983
136	3642	22942
137	3669	22922
138	3679	22791
139	3702	22744
140	3726	22701
141	3756	22697
142	3797	22756
143	3832	22781
144	3859	22760
145	3885	22727
146	3908	22680
147	3930	22625
148	3953	22582
149	3969	22492
150	4014	22569
151	4050	22598
152	4074	22555
153	4099	22521
154	4124	22487
155	4147	22439
156	4169	22387
157	4206	22415
158	4226	22356
159	4257	22349
160	4281	22314
161	4306	22276
162	4330	22239
163	4355	22200
164	4379	22163
165	4420	22206
166	4448	22189
167	4471	22145
168	4497	22116
169	4520	22068
170	4531	21967
171	4538	21848
172	4549	21750
173	4572	21707
174	4582	21601
175	4621	21634
176	4682	21772
177	4707	21738
178	4718	21639
179	4723	21516
180	4740	21451
181	4748	21342
182	4769	21292
183	4796	21270
184	4811	21196
185	4838	21175
186	4876	21202
187	4888	21115
188	4911	21074
189	4932	21026
190	4954	20983
191	4963	20888
192	4986	20852
193	5027	20887
194	5078	20963
195	5108	20953
196	5131	20918
197	5155	20882
198	5169	20808
199	5192	20770
200	5214	20727
201	5237	20692
202	5279	20728
203	5319	20757
204	5340	20710
205	5350	20621
206	5373	20583
207	5396	20548
208	5419	20511
209	5470	20580
210	5522	20649
211	5553	20640
212	5582	20627
213	5617	20632
214	5640	20594
215	5669	20578
216	5706	20589
217	5756	20650
218	5786	20637
219	5808	20595
220	5816	20504
221	5837	20456
222	5859	20416
223	5882	20378
224	5904	20336
225	5936	20330
226	5990	20400
227	6018	20376
228	6046	20356
229	6062	20296
230	6085	20258
231	6106	20214
232	6116	20134
233	6144	20114
234	6190	20150
235	6223	20147
236	6247	20113
237	6272	20082
238	6296	20047
239	6320	20014
240	6342	19975
241	6374	19965
242	6395	19922
243	6411	19866
244	6442	19853
245	6464	19814
246	6490	19785
247	6514	19752
248	6528	19691
249	6551	19653
250	6574	19619
251	6589	19560
252	6630	19576
253	6669	19587
254	6692	19553
255	6704	19483
256	6711	19403
257	6733	19365
258	6755	19326
259	6777	19291
260	6813	19291
261	6853	19304
262	6886	19297
263	6915	19280
264	6939	19246
265	6960	19205
266	6986	19179
267	7034	19212
268	7064	19198
269	7088	19164
270	7115	19140
271	7142	19116
272	7165	19081
273	7191	19055
274	7232	19068
275	7268	19065
276	7294	19039
277	7322	19016
278	7347	18987
279	7372	18956
280	7398	18931
281	7441	18946
282	7477	18943
283	7501	18912
284	7527	18885
285	7550	18850
286	7574	18817
287	7598	18785
288	7634	18783
289	7674	18789
290	7699	18760
291	7725	18731
292	7748	18696
293	7770	18659
294	7793	18625
295	7826	18614
296	7866	18620
297	7901	18613
298	7927	18585
299	7952	18556
300	7979	18530
301	8003	18498
302	8028	18467
303	8065	18464
304	8107	18474
305	8132	18444
306	8154	18406
307	8179	18377
308	8201	18340
309	8226	18310
310	8246	18270
311	8269	18235
312	8304	18226
313	8343	18227
314	8367	18196
315	8389	18158
316	8410	18121
317	8434	18088
318	8455	18050
319	8477	18015
320	8514	18011
321	8554	18012
322	8577	17978
323	8604	17952
324	8630	17925
325	8653	17891
326	8676	17857
327	8710	17846
328	8750	17846
329	8772	17811
330	8796	17779
331	8819	17745
332	8843	17714
333	8866	17680
334	8896	17659
335	8941	17670
336	8977	17661
337	9003	17633
338	9027	17601
339	9048	17564
340	9076	17541
341	9103	17514
342	9159	17544
343	9191	17528
344	9216	17498
345	9243	17470
346	9267	17440
347	9291	17407
348	9323	17391
349	9379	17419
350	9405	17390
351	9429	17359
352	9453	17326
353	9477	17294
354	9499	17259
355	9520	17222
356	9552	17204
357	9596	17208
358	9623	17182
359	9646	17149
360	9671	17119
361	9696	17089
362	9720	17057
363	9744	17026
364	9782	17019
365	9828	17025
366	9856	17000
367	9882	16971
368	9904	16937
369	9926	16901
370	9949	16868
371	9976	16842
372	10011	16829
373	10057	16834
374	10083	16806
375	10105	16770
376	10129	16739
377	10153	16707
378	10174	16671
